SongNumber,SongTitle,AlbumName,ArtistLocation,ArtistName,Duration,KeySignature,Popularity,Tempo,TimeSignature,Year,ArtistFamiliarity,ArtistPopularity,1 Star Artist Popularity,2 Star Artist Popularity,3 Star Artist Popularity,4 Star Artist Popularity,5 Star Artist Popularity,rap/hiphop/rnb,rock,folk/celtic,electronic/trance,metal,punk/grunge/ska,pop/chart,jazz/blues,country,soul/reggae/funk,dance
24,Let's Get It Started,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,Los Angeles CA,Black Eyed Peas,229.61587,11,0.624425493,105.206,4,2004,0.845601887,1.01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25,Metal,Things Falling Apart,Cleveland OH,Nine Inch Nails,426.89261,0,0.635536649,63.017,4,2000,0.905776889,0.6,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
26,She Fell Away (2009 Digital Remaster),Your Funeral... My Trial (2009 Digital Remaster),,Nick Cave & The Bad Seeds,269.26975,9,-1,144.603,4,0,0.694021648,0.48,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
27,It's My Party,60's Triple set,New York NY,Lesley Gore,136.48934,9,-1,129.122,1,1963,0.606925359,0.39,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
28,I'm Gone This Time,Unconditional Love,Delight AR,Glen Campbell,142.75873,1,-1,137.29,4,0,0.67159627,0.48,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
29,You Can Still Be Free,Affirmation,CA,Savage Garden,118.33424,9,-1,84.69,5,1999,0.728209707,0.54,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
30,I Never Came,Lullabies To Paralyze,,Queens Of The Stone Age,288.41751,2,0.725121284,115.606,4,2005,0.798645179,0.55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
31,Commercial Reign,The Singles,Manchester England,Inspiral Carpets,283.76771,2,0.665172241,113.677,4,1990,0.605109702,0.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,Hate,The Equinox,SPRINGFIELD Virginia,Organized Konfusion,198.3473,11,0.460484845,175.769,4,1997,0.683719468,0.41,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
33,I Can't Stop Loving You,Timeless,Medicine Lodge KS,Martina McBride,261.95546,7,0.488289876,100.194,3,2005,0.614870934,0.63,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
34,Thank You Lord,Feel Good All Over: Anthology 1970-1976,Kingston Jamaica,Horace Andy,176.27383,2,-1,151.911,4,1985,0.626436382,0.37,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
35,Candy Man,Final Vinyl,San Francisco CA,Hot Tuna,239.59465,0,-1,172.398,1,1971,0.567278871,0.41,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
36,Three Is a Crowd,The Early Tapes 1975-1976,New York NY,Rory Block,266.05669,1,0,90.101,1,0,0.513829587,0.34,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,On Bended Knee,Legacy,Philadelphia PA,Boyz II Men,329.27302,8,0.345802234,116.473,4,1994,0.790922848,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
38,Little Girl (LP Version),Donny Hathaway,Chicago IL,Donny Hathaway,283.21914,2,0.617365618,111.191,3,1971,0.657406765,0.42,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
39,I Want Love (Tween You & Me) (Album Version),Homemade Ice-Cream,Goodwill LA,Tony Joe White,162.53342,2,0.374796837,173.482,4,0,0.624723768,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
40,White Feather,White Feather,Sydney Australia,Wolfmother,212.37506,4,-1,110.745,4,2009,0.79225559,0.57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
41,Christlike Roche,Can We Go Home Now,New York City,The Roches,338.33751,2,0.265861049,130.027,4,1995,0.573605491,0.37,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
42,Cowboy Ways,A Tribute to The American Horse,Austin,James Hunter,188.73424,2,-1,114.971,4,0,0.625443262,0.43,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
43,Waiting,Signify (Special Edition),,Porcupine Tree,416.80934,6,0.82517354,124.04,5,1997,0.830252262,0.51,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
44,Hell,In Your Honor,Seattle WA,Foo Fighters,117.002,7,-1,152.127,4,2005,0.839275393,0.55,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
45,Hips Don't Lie (featuring Wyclef Jean),Essential R&B Hit Selection,Barranquilla Colombia,Shakira Featuring Wyclef Jean,217.36444,10,0.73738531,100.023,4,0,0.833178561,0.68,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
46,Juoksuhauta-twist (Elama juoksuhaudoissa),20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,California - SF,The Avengers,122.72281,10,-1,192.688,4,0,0.574973901,0.42,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
47,I Got Over It (Album Version),Talk To Your Daughter,Ukiah CA,Robben Ford,203.98975,11,0.47212112,154.322,4,1988,0.604820432,0.38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,Te Hacen Falta Vitaminas,Gira Me Veras Volver,,Soda Stereo,225.12281,11,-1,175.421,1,1984,0.711165787,0.47,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
49,Christmas In Jamaica,Snowflakes,Severn MD,Toni Braxton Featuring Shaggy,219.01016,0,-1,149.94,4,2001,0.737972528,0.56,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
50,Mozart,Pianissimo,California - SF,Suzanne Ciani,192.20853,2,0.608500079,139.189,3,1989,0.631946666,0.38,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,Letter To Heaven,Heaven,Locust Ridge TN,Dolly Parton,155.21914,7,-1,114.027,3,1971,0.707335681,0.6,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
52,Inside Job,Pearl Jam,Seattle WA,Pearl Jam,428.56444,4,0.659304669,105.994,3,2006,0.81444811,0.61,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
53,Take A Look  (LP Version),Take A Look,Los Angeles CA,Natalie Cole,185.7824,8,-1,88.489,1,0,0.69044755,0.51,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
54,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),Crack The Skye,Atlanta GA,Mastodon,654.28853,7,0.626612803,118.433,4,2009,0.780461749,0.57,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
55,Robbers Kill Cop,LOOK (Original Motion Picture Soundtrack),Earth,BT,44.35546,1,0.304169503,136.164,4,0,0.786427083,0.51,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
56,Orgofart,Enjoy!,Los Angeles CA,Descendents,140.66893,6,0.519448581,89.495,4,1986,0.727230315,0.48,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
57,Cooler Than You,Venus Envy,Santa Rosa California,Diesel Boy,124.15955,11,0.405652196,133.729,1,1998,0.567814264,0.38,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,Summer Dying Fast,Bitter Suites to Succubi,,Cradle Of Filth,321.35791,2,-1,193.693,4,1994,0.784820389,0.57,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
59,The Frail,Things Falling Apart,Cleveland OH,Nine Inch Nails,168.56771,7,-1,130.284,4,1999,0.905776889,0.6,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
60,Snowball,For Screening Purposes Only,,Test Icicles,190.24934,4,0.543052864,75.031,4,2005,0.682045692,0.37,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,(We Don't Need This) Fascist Groove Thang,Endless,London England,Heaven 17,255.16363,7,-1,150.837,4,1981,0.630928608,0.46,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
62,Master Of Disharmony,Death ... Is just the beginning Vol.4,Oslo Norway,Dimmu Borgir,282.53995,6,-1,140.458,3,1996,0.826075467,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
63,(This Is Not A) Love Song (Live),Live In Tokyo,London England,Public Image Ltd,388.28363,0,0.26396982,132.506,4,1983,0.684994897,0.42,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
64,What Are We Here For,Dark Days In Paradise,Belfast Northern Ireland,Gary Moore,345.93914,2,0.447135796,153.862,4,1997,0.761362238,0.47,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
65,Wig,The B52's,Athens GA,The B-52's,261.74649,0,0.714046553,124.086,4,1986,0.681598553,0.54,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
66,God Save the Queen (Live),Punk International,,Sex Pistols,216.60689,9,0.413739836,145.518,4,1988,0.73118423,0.55,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
67,Forever,Forever,Fairfax California,Chris Brown,363.59791,1,-1,139.998,4,0,0.892688611,0.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,Have Yourself A Merry Little Christmas,Peace At Last - EP,NY - New York City,Hem,133.27628,5,0.360370583,89.86,1,2005,0.632242851,0.45,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
69,(Bloody Paw On The) Kill Floor,RoadKillOvercoat,,Busdriver,192.1824,6,0.519403046,155.038,4,2007,0.618002715,0.35,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
70,Witch Weed (Live),Apogee,Madison Wisconsin,Bongzilla,397.26975,9,0.460541281,95.882,4,1999,0.574400789,0.45,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
71,The Cube (Live),To Live Alone,,S.U.P,384.70485,11,-1,137.862,4,2001,0.406166635,0.27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,Illuminate,The Altogether,Sevenoaks United Kingdom,Orbital,327.8624,0,0.688521844,125.975,4,2001,0.693009204,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
73,A B***** Is A B***** (Edited),Straight Outta Compton,Compton California USA.,N.W.A.,168.75057,9,0,97.099,4,1989,0.747708669,0.52,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
74,Kick Out The Jams,Live at the Grand Olympic Auditorium,Los Angeles CA,Rage Against The Machine,201.56036,9,-1,140.63,1,2000,0.783458021,0.59,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
75,Amber Changing,Revolutions Per Minute,Chicago,Rise Against,218.8273,4,0.696469437,186.254,4,2003,0.847081688,0.63,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
76,Hey Daddy,Issues,Bakersfield CA,Korn,224.522,7,-1,94.057,4,1999,0.829135422,0.56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
77,Shadows That Move,Call of the Mastodon,Atlanta GA,Mastodon,233.58649,2,0.784194616,89.78,4,2001,0.780461749,0.57,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
78,Kite Live from Sydney,Window In The Skies,Dublin Ireland,U2,485.19791,3,-1,134.083,4,2007,0.843526543,0.75,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
79,Ever Be,Untitled,Bakersfield CA,Korn,288.49587,10,-1,160.022,3,2007,0.829135422,0.56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
80,English Summer Rain,Sleeping With Ghosts,London England,Placebo,241.52771,10,0.873702495,108.264,4,2003,0.804523521,0.59,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
81,Spanish Shuffle (Album Version),Miscelanea,,Tam Tam Go!,226.82077,9,-1,119.524,4,0,0.515044056,0.32,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
82,Terapia De Amor Intensiva,De Musica Ligera,,Soda Stereo,340.29669,7,0.547324832,91.328,4,1988,0.711165787,0.47,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
83,Lies Of Hate,Candy From A Stranger,Minneapolis MN,Soul Asylum,279.2224,11,0.360370583,68.734,4,1998,0.690080124,0.47,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
84,Musical Episode,Exclusively,Kingston Jamaica,Horace Andy,234.44853,10,0.345802234,102.055,1,2005,0.626436382,0.37,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
85,Hard Times,Run DMC,,RUN-DMC,234.65751,1,-1,119.67,4,1984,0.686988955,0.61,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
86,Escapist,Made In Hong Kong (And In Various Other Places),Kitee Finland,Nightwish,301.06077,3,-1,143.97,4,2007,0.808784962,0.59,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
87,Myth Takes,Myth Takes,,!!!,143.98649,11,0,193.978,4,2007,0.609538992,0.48,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
88,Who Shot Ya (Amended Album Version),Greatest Hits,,The Notorious B.I.G.,316.65587,4,0.274281704,91.69,4,2007,0.668509447,0.51,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
89,Poor Tom (Album Version),Coda,England,Led Zeppelin,182.09914,1,0.31276992,210.8,7,1982,0.787098355,0.63,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0
90,Wounded Hearts,The Pink & The Lily,Scotland,Sandi Thom,205.21751,4,0.419674279,82.205,4,2008,0.655359115,0.41,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
91,When Morning Comes To Town,Coastal,,The Field Mice,316.73424,3,0.531612769,162.682,4,1989,0.60542429,0.41,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
92,Estate,Once More,Los Angeles CA,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,431.64689,11,-1,106.219,1,0,0.426683814,0.33,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,Until You Love Someone,Love From&The Rat Pack,Steubenville OH,Dean Martin,165.66812,0,-1,128.459,5,2005,0.708439814,0.62,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
94,Will You Love Me Tomorrow,Dreamboats & Petticoats 2,Passaic NJ,The Shirelles,159.76444,0,-1,68.283,4,1960,0.66229871,0.38,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
95,Northern Downpour (Album Version),Northern Downpour,Las Vegas NV,Panic At The Disco,247.77098,5,0.352232225,85.157,4,0,0.842368944,0.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
96,The Second Summer Of Love,Bebop Moptop,Dundee Scotland,Danny Wilson,167.20934,7,-1,196.034,4,1989,0.559991415,0.36,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
97,Another Long One,Steady On,Vermillion SD,Shawn Colvin,224.60036,8,0.425124658,210.871,4,1989,0.68550363,0.45,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
98,Larger Than Life,Just Want You To Know,Orlando FL,Backstreet Boys,236.25098,0,-1,112.787,4,1999,0.851417629,0.59,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
99,Baby Come To Me,At Last... The Duets Album,Seattle Washington USA,Kenny G featuring Daryl Hall,236.93016,0,-1,89.865,4,0,0.751629597,0.55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
100,Ten Tonne,Ten Tonne EP,,Chase & Status,337.68444,4,0.392008771,174.993,4,2005,0.654594982,0.4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
101,A Higher Place (Album Version),Wildflowers,Gainesville FL,Tom Petty,236.17261,9,-1,129.122,4,1994,0.779838092,0.57,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
102,Jenny Take a Ride,American Legend,Hamtramck MI,Mitch Ryder,207.43791,9,0.419125893,97.538,4,2004,0.476747681,0.29,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103,Streets On Fire (Explicit Album Version),Lupe Fiasco's The Cool,Chicago IL,Lupe Fiasco,279.97995,7,0.888813538,110.218,4,0,0.902062927,0.55,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
104,Harajuku Girls,Love Angel Music Baby,,Gwen Stefani,290.55955,1,0.684613086,113.995,4,2004,0.837872047,0.53,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1
105,Because Of You,Love Songs,Brooklyn NY,Neil Sedaka,170.84036,4,-1,76.013,3,1999,0.720842183,0.44,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
106,From The Blind (LP Version),The Hinderers,,Daath,230.86975,0,-1,97.151,4,2006,0.473963333,0.35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,As My Fire Flies,Pat Travers,Toronto Canada,Pat Travers,152.99873,9,-1,140.872,4,0,0.565971267,0.38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108,Turn Around,In This Place,,True Believers,361.53424,6,0.255519804,160.731,4,0,0.494073815,0.33,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,Suffocating Under Words Of Sorrow (What Can I Do),The Poison,Bridgend South Wales UK,Bullet For My Valentine,215.53587,0,-1,188.924,4,2005,0.815437803,0.61,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
110,Complain,Joyful,United States,Ayo,212.71465,0,0,128.689,4,2006,0.522590185,0.39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,Daydreaming [Jakwob Remix],Ultraviolet,Chicago IL,Kid Sister,277.2371,11,0.573019828,140.026,4,2009,0.749395045,0.46,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
112,Ease,Compact Disc,London England,Public Image Ltd,492.30322,9,0.639248489,193.56,4,1985,0.684994897,0.42,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
113,Everchanging,This Is Noise,Chicago,Rise Against,260.8322,11,-1,122.006,4,2001,0.847081688,0.63,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
114,Too much informa,Bien Sobre Mal Vol. 3: Black Rain Riddim,,Sizzla,203.96363,7,-1,190.01,4,2005,0.732571745,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
115,So Hot,Radio Hits,Cardiff Wales,Helen Love,81.97179,2,0.299877488,100.76,4,1994,0.581884359,0.35,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
116,Italian For Goodbye (skit),Humboldt Beginnings,Los Angeles CA,The Pharcyde,11.59791,0,-1,38.233,4,2004,0.756063871,0.49,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
117,Stronger Than Me,Take The Box,London,Amy Winehouse,256.10404,10,-1,91.198,4,2003,0.899709853,0.58,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
118,The Hustle,Labcabincalifornia,Los Angeles CA,The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,334.78485,1,0.578658188,95.816,4,1995,0.756063871,0.49,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
119,The Illusionist,Nuclear Blast Showdown 2006,Sweden,Scar Symmetry,271.5424,6,0.716321271,150.086,4,2006,0.718381342,0.46,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
120,Pero Me Acuerdo De Ti,Mi Reflejo,,Christina Aguilera,266.73587,6,0.622435137,117.984,4,2000,0.831240277,0.74,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
121,Dumb Woman Blues,Dark And Dreary,Richland MS,Elmore James,191.13751,0,-1,97.03,3,0,0.619366855,0.43,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
122,Hear Me Lord (2001 Digital Remaster),All Things Must Pass,Liverpool England,George Harrison,359.73179,6,-1,133.383,4,0,0.739047424,0.54,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
123,Don't Let Go,The Green Album,,Weezer,180.97587,2,0.784712266,142.68,4,2001,0.830884642,0.78,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
124,Courtyard,The Best of Bobbie Gentry: The Capitol Years,Chickasaw County MS,Bobbie Gentry,177.57995,2,-1,152.434,1,1968,0.582460567,0.38,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
125,Interlude,B.A.D. (Be A Devil),London England,B.A.D.,102.03383,0,-1,95.655,4,0,0.583989842,0.47,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
126,Terra,lo mejor de  Luar na Lubre,,Luar Na Lubre,251.81995,2,0.400039657,229.913,3,2001,0.633313609,0.42,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
127,Sayin' Dope,All In The Mind,New York NY,The Bucketheads,365.71383,9,0.375984302,120.876,5,1995,0.563845985,0.34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
128,Now You Know,Senseless: Live At Cantone's_ 1982,,The Real Kids,222.11873,11,0.492299861,147.661,4,1996,0.484893131,0.34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
129,Reason With The Beast,Cormorant,London England,Shriekback,113.60608,2,0.23979456,100.15,1,2005,0.547938241,0.37,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
130,Trouble In The City,#8,Oklahoma City OK,J.J. Cale,202.94485,6,-1,133.398,1,1983,0.675766803,0.44,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
131,Knocked Up,Sex On Fire,Nashville Tennessee,Kings Of Leon,466.65098,9,-1,114.73,4,2007,0.845768866,0.79,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
132,Crass Commercialism,Everything Went Black,Los Angeles CA,Black Flag,1030.19057,0,0.499445835,70.649,5,1982,0.731208047,0.55,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
133,Turning Away,Best of 1991-2001 Hidden Harvest,Ireland,Mary Black,293.92934,5,0.511424326,163.567,4,1999,0.597113363,0.38,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,The Girl I Find (LP Version),The Young Mods' Forgotten Story,United States,The Impressions,159.29424,1,0.392008771,81.586,5,0,0.633220624,0.41,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
135,Nubia (LP Version),See,New York NY,The Rascals,223.89506,2,0.405052003,113.058,1,0,0.686720834,0.41,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
136,Blake's Worried Blues,Blind Blake Vol. 1 (1926 - 1927),Jacksonville FL,Blind Blake,186.90567,0,-1,86.997,1,0,0.521672995,0.35,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
137,Pienso En Ti,El Amor En Los Tiempos del Colera (Love In The Time Of Cholera),Barranquilla Colombia,Shakira,148.1922,4,0.701124286,115.066,1,1995,0.833178526,0.8,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
