"SongNumber","Songtitle","","","AlbumName","","","ArtistLocation","","ArtistName","","","","Danceability","Duration","KeySignature","KeySignatureConfidence","Popularity","Tempo","TimeSignature","TimeSignatureConfidence","Year","ArtistFamiliarity","ArtistPopularity","Genre 1","Genre 2","Genre 3","Genre 4","Genre 5","Genre 6","Genre 7","Genre 8","Genre 9","Genre 10","Genre 11","Genre 12","Genre 13","Genre 14","Genre 15","Genre 16","Genre 17","Genre 18","Genre 19","Genre 20","Genre 21","Genre 22"
"12","b'The Urgency (LP Version)'","The Urgency (LP Version)'","The Urgency (LP Version)","b'The Way Home'","The Way Home'","The Way Home","Wisner LA'","Wisner LA","Wayne Watson'","Wayne Watson'","Wayne Watson'","Wayne Watson","0","245.21098","7","0.07000000000000001","0.265861049","117.975","4","0.835","0","0.545159296","0.351555861","","","","","","","","","","","","","","","","","","","","","",""
"13","b'La Culpa'","La Culpa'","La Culpa","b'Placer & Castigo'","Placer & Castigo'","Placer & Castigo","","","Andy Andy'","Andy Andy'","Andy Andy'","Andy Andy","0","226.35057","9","0.205","0","130.04","4","0","0","0.577508974","0.37948217","","","","","","","","","","","","","","","","","","","","","",""
"14","b'Tonight Will Be Alright'","Tonight Will Be Alright'","Tonight Will Be Alright","b'Dancing On The Ceiling'","Dancing On The Ceiling'","Dancing On The Ceiling","Beverly Hills CA'","Beverly Hills CA","Lionel Richie'","Lionel Richie'","Lionel Richie'","Lionel Richie","0","307.3824","3","0.524","nan","125.197","3","0.211","1986","0.776675856","0.553071991","soul and reggae","","","","","","","","","","","","","","","","","","","","",""
"15","b'Floating'","Floating'","Floating","b'Outskirts'","Outskirts'","Outskirts","Toronto Ontario Canada'","Toronto Ontario Canada","Blue Rodeo'","Blue Rodeo'","Blue Rodeo'","Blue Rodeo","0","491.12771","7","1","0.405115722","119.826","4","0.756","1987","0.636423645","0.44793548","canadian ","country rock ","rock ","folk","","","","","","","","","","","","","","","","","",""
"16","b'High Tide'","High Tide'","High Tide","b'Cross Currents'","Cross Currents'","Cross Currents","United States'","United States","Richard Souther'","Richard Souther'","Richard Souther'","Richard Souther","0","228.5971","8","0.041","0.334706549","127.756","5","0.579","0","0.419943148","0.330806357","","","","","","","","","","","","","","","","","","","","","",""
"17","b'Sohna Nee Sohna Data'","Sohna Nee Sohna Data'","Sohna Nee Sohna Data","b'Panjtan Ka Ghulam'","Panjtan Ka Ghulam'","Panjtan Ka Ghulam","","","Faiz Ali Faiz'","Faiz Ali Faiz'","Faiz Ali Faiz'","Faiz Ali Faiz","0","599.24853","6","0.06","nan","99.273","4","0.158","0","0.363280571","0.306676093","","","","","","","","","","","","","","","","","","","","","",""
"18","b'Caught In A Dream'","Caught In A Dream'","Caught In A Dream","b'Gold'","Gold'","Gold","","","Tesla'","Tesla'","Tesla'","Tesla","0","290.29832","7","0.725","0.684136191","150.062","4","0.931","2004","0.707199764","0.51346329","","","","","","","","","","","","","","","","","","","","","",""
"19","b'Synthetic Dream'","Synthetic Dream'","Synthetic Dream","b'Whatever Happened To Boredom?'","Whatever Happened To Boredom?'","Whatever Happened To Boredom?","","","lextrical'","lextrical'","lextrical'","lextrical","0","165.69424","7","0.011","0","138.331","4","0.127","0","0.32031437","0","","","","","","","","","","","","","","","","","","","","","",""
"20","b'Broken-Down Merry-Go-Round'","Broken-Down Merry-Go-Round'","Broken-Down Merry-Go-Round","b'1942-1952 Jimmy Wakely'","1942-1952 Jimmy Wakely'","1942-1952 Jimmy Wakely","Mineola AR'","Mineola AR","Jimmy Wakely'","Jimmy Wakely'","Jimmy Wakely'","Jimmy Wakely","0","151.84934","1","0.799","nan","86.18600000000001","3","0.929","0","0.39413854","0.291539727","","","","","","","","","","","","","","","","","","","","","",""
"21","b'Kassie Jones'","Kassie Jones'","Kassie Jones","b'All The Good Times'","All The Good Times'","All The Good Times","Washington'","Washington","Alice Stuart'","Alice Stuart'","Alice Stuart'","Alice Stuart","0","220.78649","11","0.8090000000000001","0","110.382","1","0.192","0","0.489816269","0.328553015","","","","","","","","","","","","","","","","","","","","","",""
"22","b'Setanta matins'","Setanta matins'","Setanta matins","b'Un cafe_ setanta matins'","Un cafe_ setanta matins'","Un cafe_ setanta matins","Dubai UAE'","Dubai UAE","Elena'","Elena'","Elena'","Elena","0","269.58322","2","0.596","0.313562114","111.874","4","1","0","0.677420465","0.378254686","","","","","","","","","","","","","","","","","","","","","",""
"23","b'Setting Fire to Sleeping Giants'","Setting Fire to Sleeping Giants'","Setting Fire to Sleeping Giants","b'Miss Machine'","Miss Machine'","Miss Machine","Morris Plains NJ'","Morris Plains NJ","The Dillinger Escape Plan'","The Dillinger Escape Plan'","The Dillinger Escape Plan'","The Dillinger Escape Plan","0","207.77751","7","0.381","0.666527846","166.862","4","0","2004","0.839962768","0.541888972","rock and indie ","metal","","","","","","","","","","","","","","","","","","","",""
"24","b'James (Hold The Ladder Steady)'","James (Hold The Ladder Steady)'","James (Hold The Ladder Steady)","b'Sue Thompson - Her Very Best'","Sue Thompson - Her Very Best'","Sue Thompson - Her Very Best","Nevada MO'","Nevada MO","SUE THOMPSON'","SUE THOMPSON'","SUE THOMPSON'","SUE THOMPSON","0","124.86485","10","0.697","0.495293621","137.522","4","0","1985","0.435415818","0.306242264","","","","","","","","","","","","","","","","","","","","","",""
"25","b'Made Like This (Live)'","Made Like This (Live)'","Made Like This (Live)","b'Live'","Live'","Live","","","Five Bolt Main'","Five Bolt Main'","Five Bolt Main'","Five Bolt Main","0","225.09669","7","0.53","0.375984302","164.672","1","0","0","0.6090637","0.363651365","","","","","","","","","","","","","","","","","","","","","",""
"26","b'Superconfidential'","Superconfidential'","Superconfidential","b'Strictly Confidential'","Strictly Confidential'","Strictly Confidential","","","Clp'","Clp'","Clp'","Clp","0","338.31138","6","0.6870000000000001","nan","125.006","4","1","0","0.5505136980000001","0.422705641","","","","","","","","","","","","","","","","","","","","","",""
"27","b'I Think My Wife Is Running Around On Me (Taco Hell)'","I Think My Wife Is Running Around On Me (Taco Hell)'","I Think My Wife Is Running Around On Me (Taco Hell)","b'The Real Twang Thang'","The Real Twang Thang'","The Real Twang Thang","Georgia'","Georgia","Tim Wilson'","Tim Wilson'","Tim Wilson'","Tim Wilson","0","186.48771","5","0.762","nan","90.02200000000001","1","0.971","2005","0.459797129","0.349912612","","","","","","","","","","","","","","","","","","","","","",""
"28","b'Spanish Grease'","Spanish Grease'","Spanish Grease","bWillie Bobo's Finest Hour""""","Willie Bobo's Finest Hour""""","Willie Bobo's Finest Hour","New York NY [Spanish Harlem'","New York NY [Spanish Harlem","Willie Bobo'","Willie Bobo'","Willie Bobo'","Willie Bobo","0","168.25424","8","0.8120000000000001","nan","127.025","4","0.792","1997","0.588827101","0.379671125","","","","","","","","","","","","","","","","","","","","","",""
"29","b'Crazy Mixed Up World'","Crazy Mixed Up World'","Crazy Mixed Up World","b'Shake A Hand'","Shake A Hand'","Shake A Hand","Newark NJ'","Newark NJ","Faye Adams'","Faye Adams'","Faye Adams'","Faye Adams","0","156.39465","8","0.569","0","95.95699999999999","3","0.6889999999999999","1961","0.396455254","0.299230368","","","","","","","","","","","","","","","","","","","","","",""
"30","b'Do You Finally Need A Friend'","Do You Finally Need A Friend'","Do You Finally Need A Friend","b'Occasional Rain'","Occasional Rain'","Occasional Rain","Chicago'","Chicago","Terry Callier'","Terry Callier'","Terry Callier'","Terry Callier","0","342.56934","6","0.381","0.413739836","110.189","3","0.353","1972","0.706827671","0.416173065","classic pop and rock","","","","","","","","","","","","","","","","","","","","",""
"31","b'The Emperor Falls'","The Emperor Falls'","The Emperor Falls","b'The Emperor Falls'","The Emperor Falls'","The Emperor Falls","Brandon'","Brandon","John Wesley'","John Wesley'","John Wesley'","John Wesley","0","484.62322","4","0.283","0.377531645","138.007","4","0.893","0","0.560557984","0.452789477","","","","","","","","","","","","","","","","","","","","","",""
"32","b'Twist and Shout'","Twist and Shout'","Twist and Shout","b'Best of The Shangri-Las'","Best of The Shangri-Las'","Best of The Shangri-Las","Queens NY'","Queens NY","The Shangri-Las'","The Shangri-Las'","The Shangri-Las'","The Shangri-Las","0","164.80608","10","0.254","0.443291312","130.1","1","0","1964","0.640807102","0.418216518","","","","","","","","","","","","","","","","","","","","","",""
"33","b'It Makes No Difference Now'","It Makes No Difference Now'","It Makes No Difference Now","b'20 Of Her Best'","20 Of Her Best'","20 Of Her Best","Beaumont TX'","Beaumont TX","Billie Jo Spears'","Billie Jo Spears'","Billie Jo Spears'","Billie Jo Spears","0","133.32853","4","0.384","0","160.839","1","0","1992","0.523714637","0.384611084","","","","","","","","","","","","","","","","","","","","","",""
"34","b'Laws Patrolling (Album Version)'","Laws Patrolling (Album Version)'","Laws Patrolling (Album Version)","b'Who Is Mike Jones?'","Who Is Mike Jones?'","Who Is Mike Jones?","Houston TX'","Houston TX","bMike Jones (Featuring CJ_ Mello & Lil' Bran)""""","Mike Jones (Featuring CJ_ Mello & Lil' Bran)""""","Mike Jones (Featuring CJ_ Mello & Lil' Bran)","Mike Jones (Featuring CJ_ Mello & Lil' Bran)","0","173.66159","7","0.299","nan","41.993","1","0","0","0.79360508","0.426317956","","","","","","","","","","","","","","","","","","","","","",""
"35","b'¿Donde va Chichi?'","¿Donde va Chichi?'","¿Donde va Chichi?","b'Tibiri Tabara'","Tibiri Tabara'","Tibiri Tabara","","","Sierra Maestra'","Sierra Maestra'","Sierra Maestra'","Sierra Maestra","0","313.12934","9","0.724","nan","189.646","3","0.674","1997","0.501544777","0.392733676","","","","","","","","","","","","","","","","","","","","","",""
"36","b'Barking Dogs (From ""Piouhgd"")'","Barking Dogs (From ""Piouhgd"")'","Barking Dogs (From ""Piouhgd"")","b'Piouhgd + Widowermaker!'","Piouhgd + Widowermaker!'","Piouhgd + Widowermaker!","San Antonio TX'","San Antonio TX","Butthole Surfers'","Butthole Surfers'","Butthole Surfers'","Butthole Surfers","0","450.84689","4","0.726","0.593943076","130.586","4","0.42","0","0.809323793","0.488019842","texas ","san antonio ","punk ","usa","","","","","","","","","","","","","","","","","",""
"37","b'OUTE ENA EFHARISTO'","OUTE ENA EFHARISTO'","OUTE ENA EFHARISTO","b'Profities'","Profities'","Profities","","","Despina Vandi'","Despina Vandi'","Despina Vandi'","Despina Vandi","0","303.09832","8","0.532","nan","128.292","4","0.83","0","0.632559542","0.41168896","","","","","","","","","","","","","","","","","","","","","",""
"38","b'Midnight Swim'","Midnight Swim'","Midnight Swim","b'Cracks'","Cracks'","Cracks","","","Javier Navarrete'","Javier Navarrete'","Javier Navarrete'","Javier Navarrete","0","128.83546","3","0","0.394394856","90.932","3","1","0","0.597541218","0.382651971","","","","","","","","","","","","","","","","","","","","","",""
"39","b'In A Subtle Way'","In A Subtle Way'","In A Subtle Way","b'Pieces Of Time'","Pieces Of Time'","Pieces Of Time","","","Jacob Young'","Jacob Young'","Jacob Young'","Jacob Young","0","456.30649","1","0.611","0","89.667","4","0.747","0","0.495445922","0.294861262","jazz and blues","","","","","","","","","","","","","","","","","","","","",""
"40","b'Spin'","Spin'","Spin","b'The Palest Grey'","The Palest Grey'","The Palest Grey","California - LA'","California - LA","bScarlet's Remains""""","Scarlet's Remains""""","Scarlet's Remains","Scarlet's Remains","0","198.73914","7","0.673","0.450992312","115.061","4","0.731","2007","0.527865076","0.393121934","","","","","","","","","","","","","","","","","","","","","",""
"41","b'Burning In The Aftermath'","Burning In The Aftermath'","Burning In The Aftermath","b'A Match & Some Gasoline'","A Match & Some Gasoline'","A Match & Some Gasoline","Detroit MI'","Detroit MI","The Suicide Machines'","The Suicide Machines'","The Suicide Machines'","The Suicide Machines","0","95.68608","2","0.421","0.528782481","115.887","4","0.744","2003","0.668674533","0.467538444","","","","","","","","","","","","","","","","","","","","","",""
"42","b'Angie (1993 Digital Remaster)'","Angie (1993 Digital Remaster)'","Angie (1993 Digital Remaster)","bJump Back - The Best Of The Rolling Stones_ '71-'93""""","Jump Back - The Best Of The Rolling Stones_ '71-'93""""","Jump Back - The Best Of The Rolling Stones_ '71-'93","London England'","London England","The Rolling Stones'","The Rolling Stones'","The Rolling Stones'","The Rolling Stones","0","271.49016","9","0.301","0.83449262","139.333","1","0","0","0.814829656","0.7357656930000001","british ","uk ","rock ","rnb ","blues ","rock and roll ","country","","","","","","","","","","","","","","",""
"43","b'Sabor Guajiro'","Sabor Guajiro'","Sabor Guajiro","b'Lo Mejor con La Orq. Broadway'","Lo Mejor con La Orq. Broadway'","Lo Mejor con La Orq. Broadway","","","Roberto Torres'","Roberto Torres'","Roberto Torres'","Roberto Torres","0","226.66404","0","0.863","0","117.271","4","0.453","0","0.482356043","0.350078579","","","","","","","","","","","","","","","","","","","","","",""
"44","b'Human Cannonball'","Human Cannonball'","Human Cannonball","b'Grown Man'","Grown Man'","Grown Man","Chapel Hill NC'","Chapel Hill NC","Loudon Wainwright III'","Loudon Wainwright III'","Loudon Wainwright III'","Loudon Wainwright III","0","190.48444","3","0.544","0.510119314","102.428","4","0.496","1995","0.661080168","0.442765842","easy listening soundtracks and musicals ","folk","","","","","","","","","","","","","","","","","","","",""
"45","b'Glory Be'","Glory Be'","Glory Be","b'A Bothered Mind'","A Bothered Mind'","A Bothered Mind","Oxford MS'","Oxford MS","R.L. Burnside'","R.L. Burnside'","R.L. Burnside'","R.L. Burnside","0","277.78567","2","0","0.482137585","89.98399999999999","4","0","2004","0.701180874","0.466628889","delta blues ","blues ","electric blues","","","","","","","","","","","","","","","","","","",""
"46","b'Crossfire'","Crossfire'","Crossfire","b'Greatest Hits'","Greatest Hits'","Greatest Hits","Dallas TX'","Dallas TX","Stevie Ray Vaughan'","Stevie Ray Vaughan'","Stevie Ray Vaughan'","Stevie Ray Vaughan","0","248.78975","1","0.754","nan","116.721","4","0.522","1992","0.73379894","0.544257506","jazz and blues","","","","","","","","","","","","","","","","","","","","",""
"47","b'I Can't Be Satisfied""","I Can't Be Satisfied""","I Can't Be Satisfied","b'Bluesman'","Bluesman'","Bluesman","","","John Hammond'","John Hammond'","John Hammond'","John Hammond","0","195.3171","7","0.98","nan","123.142","4","0.678","2002","0.590692918","0.452817838","folk","","","","","","","","","","","","","","","","","","","","",""
"48","b'Nashville Parthenon'","Nashville Parthenon'","Nashville Parthenon","b'Etiquette'","Etiquette'","Etiquette","","","Casiotone For The Painfully Alone'","Casiotone For The Painfully Alone'","Casiotone For The Painfully Alone'","Casiotone For The Painfully Alone","0","175.72526","0","0.522","0.785892288","141.919","4","0.445","2006","0.6653221620000001","0.394217199","dance and electronica","","","","","","","","","","","","","","","","","","","","",""
"49","b'Cocain Ducks'","Cocain Ducks'","Cocain Ducks","b'Ec8or'","Ec8or'","Ec8or","Berlin Germany'","Berlin Germany","Ec8or'","Ec8or'","Ec8or'","Ec8or","0","217.23383","10","0.005","nan","95.596","4","1","1995","0.50407567","0.33457736","","","","","","","","","","","","","","","","","","","","","",""
"50","b'The More I See You'","The More I See You'","The More I See You","b'Bossa Nova Stories'","Bossa Nova Stories'","Bossa Nova Stories","Sao Paulo Brazil'","Sao Paulo Brazil","Eliane Elias'","Eliane Elias'","Eliane Elias'","Eliane Elias","0","251.42812","7","0.391","0.43483809","86.09099999999999","5","0.551","2009","0.6697261879999999","0.427914247","brazilian ","bossa nova","","","","","","","","","","","","","","","","","","","",""
"51","b'Certain Things We Do'","Certain Things We Do'","Certain Things We Do","b'Love_ Peace & Nappiness'","Love_ Peace & Nappiness'","Love_ Peace & Nappiness","South Jamaica Queens'","South Jamaica Queens","Lost Boyz'","Lost Boyz'","Lost Boyz'","Lost Boyz","0","269.7922","7","0.715","0.405115722","90.218","4","1","1997","0.569741152","0.412240601","american ","hip-hop","","","","","","","","","","","","","","","","","","","",""
"52","b'Forming'","Forming'","Forming","b'Germicide'","Germicide'","Germicide","Los Angeles CA'","Los Angeles CA","The Germs'","The Germs'","The Germs'","The Germs","0","206.05342","11","0.641","nan","133.144","1","0","1977","0.640048357","0.40439264","los angeles ","punk ","california ","usa","","","","","","","","","","","","","","","","","",""
"53","b'Mafua'","Mafua'","Mafua","b'Mafua'","Mafua'","Mafua","","","Yamandu Costa'","Yamandu Costa'","Yamandu Costa'","Yamandu Costa","0","190.04036","2","0.105","nan","205.317","4","0","0","0.397772876","0.383475745","","","","","","","","","","","","","","","","","","","","","",""
"54","b'Driving Home For Christmas'","Driving Home For Christmas'","Driving Home For Christmas","b'The Road To Hell Part 2'","The Road To Hell Part 2'","The Road To Hell Part 2","Middlesbrough England'","Middlesbrough England","Chris Rea'","Chris Rea'","Chris Rea'","Chris Rea","0","241.162","9","0.222","0.767727748","180.149","4","0","1986","0.643182773","0.500691341","rock ","blues ","british ","classic pop and rock ","rock blues","","","","","","","","","","","","","","","","",""
"55","b'Spooks In Space'","Spooks In Space'","Spooks In Space","b'Vanguard Visionaries'","Vanguard Visionaries'","Vanguard Visionaries","","","Perrey And Kingsley'","Perrey And Kingsley'","Perrey And Kingsley'","Perrey And Kingsley","0","122.64444","0","0.61","0.43483809","102.538","4","0.869","1966","0.411421048","0.338414818","","","","","","","","","","","","","","","","","","","","","",""
"56","b'Tous Les Garcons Et Les Filles'","Tous Les Garcons Et Les Filles'","Tous Les Garcons Et Les Filles","b'Be Yourself Tonight'","Be Yourself Tonight'","Be Yourself Tonight","London England'","London England","Eurythmics'","Eurythmics'","Eurythmics'","Eurythmics","0","207.0722","0","0.442","0.38293509","84.164","4","0.853","1985","0.75100762","0.523699078","british ","synthpop ","electronic ","new wave ","uk  ","classic pop and rock ","rnb ","pop ","rock","","","","","","","","","","","","",""
"57","b'Too Much Saturn'","Too Much Saturn'","Too Much Saturn","b'Hometown 2001'","Hometown 2001'","Hometown 2001","Egremont Cumbria England'","Egremont Cumbria England","Francis Dunnery'","Francis Dunnery'","Francis Dunnery'","Francis Dunnery","0","300.79955","7","0.666","0.610474258","124.175","4","0.698","1995","0.54858513","0.383524247","","","","","","","","","","","","","","","","","","","","","",""
"58","b'Movement 4 [from Kiss (Album Version)'","Movement 4 [from Kiss (Album Version)'","Movement 4 [from Kiss (Album Version)","b'Eat / Kiss: Music For The Films By Andy Warhol'","Eat / Kiss: Music For The Films By Andy Warhol'","Eat / Kiss: Music For The Films By Andy Warhol","Garnant Wales'","Garnant Wales","John Cale'","John Cale'","John Cale'","John Cale","0","228.46649","7","0.458","0.226555314","137.004","1","0","1997","0.749317801","0.481655862","british ","drone ","art rock ","rock ","experimental rock ","uk ","welsh ","protopunk ","classic pop and rock","","","","","","","","","","","","",""
"59","b'Stream'","Stream'","Stream","b'The Ultimate Most Relaxing New Age Piano in the Universe'","The Ultimate Most Relaxing New Age Piano in the Universe'","The Ultimate Most Relaxing New Age Piano in the Universe","California - SF'","California - SF","Suzanne Ciani'","Suzanne Ciani'","Suzanne Ciani'","Suzanne Ciani","0","239.59465","7","0.527","0.415983118","106.33","4","0.526","0","0.631946666","0.380704536","instrumental ","electronic ","new wave","","","","","","","","","","","","","","","","","","",""
"60","b'Make Me Over'","Make Me Over'","Make Me Over","b'Classic Gold: Best of All'","Classic Gold: Best of All'","Classic Gold: Best of All","","","Vickie Winans'","Vickie Winans'","Vickie Winans'","Vickie Winans","0","228.93669","11","0.172","nan","107.961","4","1","0","0.653937821","0.396855869","","","","","","","","","","","","","","","","","","","","","",""
"61","b'Deform (live)'","Deform (live)'","Deform (live)","b'The Berzerker'","The Berzerker'","The Berzerker","Melbourne Australia'","Melbourne Australia","The Berzerker'","The Berzerker'","The Berzerker'","The Berzerker","0","165.61587","1","0.108","0","174.287","3","0.132","2000","0.668370612","0.45755391","grindcore","","","","","","","","","","","","","","","","","","","","",""
"62","b'Wicker Chair'","Wicker Chair'","Wicker Chair","b'Holy Roller Novocaine'","Holy Roller Novocaine'","Holy Roller Novocaine","Nashville Tennessee'","Nashville Tennessee","Kings Of Leon'","Kings Of Leon'","Kings Of Leon'","Kings Of Leon","0","187.92444","0","0.612","0.685940227","116.823","4","0.347","2003","0.845768866","0.788805935","american ","southern rock ","garage rock ","rock and indie ","americain ","alternative rock ","usa ","rock ","united states ","indie rock","","","","","","","","","","","",""
"63","b'An ti chans'""","An ti chans'""","An ti chans'","b'Jeux de dames_ vol. 1 (realisation Ronald Rubinel)'","Jeux de dames_ vol. 1 (realisation Ronald Rubinel)'","Jeux de dames_ vol. 1 (realisation Ronald Rubinel)","","","Edith Lefel'","Edith Lefel'","Edith Lefel'","Edith Lefel","0","276.50567","0","0.29","0","101.972","4","1","0","0.407455644","0.30004649","","","","","","","","","","","","","","","","","","","","","",""
"64","b'I Will Love Again (JJ's Club Radio)""","I Will Love Again (JJ's Club Radio)""","I Will Love Again (JJ's Club Radio)","b'I Will Love Again'","I Will Love Again'","I Will Love Again","","","Taras'","Taras'","Taras'","Taras","0","200.25424","11","0.056","nan","127.97","4","0","0","0.460171324","0.189314878","","","","","","","","","","","","","","","","","","","","","",""
"65","b'Stickin In My Eye'","Stickin In My Eye'","Stickin In My Eye","b'White Trash ......'","White Trash ......'","White Trash ......","Berkeley CA'","Berkeley CA","NOFX'","NOFX'","NOFX'","NOFX","0","144.50893","4","0.093","0.671236027","152.622","4","0.358","1992","0.778816717","0.554291489","american ","punk ","usa ","punk rock ","americain ","hardcore punk ","ska punk ","los angeles ","skate punk ","rock","","","","","","","","","","","",""
"66","b'Ota kiinni'","Ota kiinni'","Ota kiinni","b'Murskapunkkia'","Murskapunkkia'","Murskapunkkia","","","Murskahumppa'","Murskahumppa'","Murskahumppa'","Murskahumppa","0","285.17832","7","0.379","nan","110.787","3","1","0","0.435889847","0.26803784","","","","","","","","","","","","","","","","","","","","","",""
"67","b'Entre Canibales'","Entre Canibales'","Entre Canibales","b'Cancion Animal'","Cancion Animal'","Cancion Animal","","","Soda Stereo'","Soda Stereo'","Soda Stereo'","Soda Stereo","0","246.69995","7","0.161","0.62616576","112.903","4","1","1990","0.711165787","0.466826993","rock en espanol ","rock ","latin ","dinamo","","","","","","","","","","","","","","","","","",""
"68","b'Rosemary Recalls'","Rosemary Recalls'","Rosemary Recalls","b'The Man from Snowy River'","The Man from Snowy River'","The Man from Snowy River","AUSTRALIA'","AUSTRALIA","Bruce Rowland'","Bruce Rowland'","Bruce Rowland'","Bruce Rowland","0","84.03546","7","0.469","0","115.642","4","0.44","1985","0.443162398","0.30045446","","","","","","","","","","","","","","","","","","","","","",""
"69","b'Sudanese Dance'","Sudanese Dance'","Sudanese Dance","b'One World One People'","One World One People'","One World One People","","","Xcultures'","Xcultures'","Xcultures'","Xcultures","0","273.52771","1","0.652","0.199238262","125.013","4","1","2000","0.400433513","0.266275286","","","","","","","","","","","","","","","","","","","","","",""
"70","b'Where The Thunder Roars (Tales Of Wonder Album Version)'","Where The Thunder Roars (Tales Of Wonder Album Version)'","Where The Thunder Roars (Tales Of Wonder Album Version)","b'Tales Of Wonder'","Tales Of Wonder'","Tales Of Wonder","","","White Heart'","White Heart'","White Heart'","White Heart","0","298.84036","5","0.596","0.265861049","113.277","4","0.872","0","0.477364752","0.337507289","","","","","","","","","","","","","","","","","","","","","",""
"71","b'Wanna Be A Player'","Wanna Be A Player'","Wanna Be A Player","b'Waterbed Hev'","Waterbed Hev'","Waterbed Hev","Jamaica West Indies'","Jamaica West Indies","Heavy D / McGruff'","Heavy D / McGruff'","Heavy D / McGruff'","Heavy D / McGruff","0","161.38404","5","0.665","0.237733942","96.979","4","0.895","1997","0.617870116","0.36366811","","","","","","","","","","","","","","","","","","","","","",""
